Summary,Issue key,Issue Type,Status,Priority,Reporter,Creator,Created,Updated,Description,Environment,Watchers,Watchers3,Watchers Id,Watchers Id4,Watchers Id5,Watchers Id6,Watchers Id7,Custom field (Customer Benefit),Custom field (Customer Contact Details),Custom field (Customer Impact),Custom field (Customer/s),Custom field (Customer_id),Custom field (Customers),Custom field (Customers Preferred Email Address),Custom field (Delivery progress),Custom field (Module),Custom field (Module)8,Custom field (The problem we are trying to solve is),Custom field (The why for MWI AH),Custom field (Theme),Custom field (To Version - Build),Custom field (Total forms),Custom field (Type of Testing),Custom field (UAT Instance Provisioned),Custom field (URL),Custom field (Upgrade type),Custom field (Vulnerability),Custom field (WF Host),Custom field (What is the current impact of not having this available?),Custom field (What is the success criteria?),Status Category Changed
Make the 'Appointment Reason' field mandatory and restrict creating new reasons via permissions,CE-194,Idea,Analysis,Major,Christian Thompson,Christian Thompson,30/03/2021 15:02,07/12/2022 12:28,"Jenny has requested that when booking an appointment in Merlin, that the 'Appointment Reason' field be a mandatory field
Creating a new appointment reason to be restricted and set as an action in user privilages",,Christian Thompson,Craig Herrington,5eed354353e5390aba8f16b6,5ecfbfd00e595d0c34457af8,5eff0aeba62a720b98d89c8a,,,Improved Reporting,,,Northwest,,,,,,,,,,,,,,,,,,Too many different appointment types being made and unable to send appointment reminders due to the large parameters of reasons,,11/07/2022 11:34
Have an access to merlin on iPads/tablets ,CE-193,Idea,Closed,Major,Pratima Gurung,Pratima Gurung,30/03/2021 14:07,12/01/2022 16:17,Site requested to have an access to merlin on iPads and tablets. ,,Pratima Gurung,,5eed354270fb110aba57b4fa,,,,,,,,Assisi Veterinary Group,,,,,,,,,,,,,,,,,,Site had no internet this morning which meant no merlin – if merlin was available on a ipad then they could use the mobile data to access Merlin.,,07/04/2021 15:42
NVS Ordering> Price Updates for MSD Products> Currently has to be done in two Separate Files,CE-192,Idea,Closed,Major,Andrew Frye,Andrew Frye,26/03/2021 16:17,12/01/2022 16:17,"Glenythan Vets (Merlin) have signed up with NVS MSD products so they can order extra product lines directly with NVS. NVS however require these to be sent/downloaded in two separate Price Files (both attached to JIRA).

If the practice do the NORMAL Price Update first, then the MSD Price Update second, many normal products are unable to be ordered as the MSD file has overwritten these normal products.

After speaking to NVS IT Department, they have advised that it is currently not possible for them to provide just ONE price file as they need to keep these separate to prevent the wrong customers using the wrong files. They have no plans to change this presently.

I have also been liaising with Carol at Glenythan too and she would like us to create a Customer Enhancement to be considered in a future release as she was not greatly comfortable merging these two files herself every month. She also does not have set contact at NVS for us to liaise with.

Support Ticket: https://mwiahuk-cft.nethelpdesk.com/ticket?id=271155&showmenu=false
Customer: Glenythan Veterinary Group.",,Andrew Frye,,5eed2c1402b4400ac4dc0b09,,,,,Improved workflow,,,Glenythan Veterinary Group,,,,,,,,,,,,,,,,,,"If the practice do the NORMAL Price Update first, then the MSD Price Update second, many/all normal products are unable to be ordered as the MSD file has overwritten these normal products.",,28/07/2021 10:41
Add reason to clipper,CE-191,Idea,Idea Pipeline,Major,Ellie Lightowler,Ellie Lightowler,25/03/2021 14:12,21/03/2023 14:37,Be able to input a reason for adding a patient to the clipper,,Ellie Lightowler,Olivia Lowe,5eff0aeac796b50bb20420c4,5f84288c9dbd0900699f2f5d,,,,Additional functionality,,,Anderson & Abercromby (VP) Abbey Veterinary Centre (VP),,,,,,,,,,,,,,,,,,,,25/03/2021 14:12
Change wording for 'amount paid' & 'change from',CE-190,Idea,Closed,Major,Ellie Lightowler,Ellie Lightowler,25/03/2021 14:11,08/12/2022 07:03,Client would like clearer wording on what is to go into each payment field as often causes confusion as 'amount paid' is regularly mistaken to be the amount of cash the person physically hands over and not the balance they are paying. ,,Ellie Lightowler,,5eff0aeac796b50bb20420c4,,,,,Improved user experience,,,Anderson & Abercromby (VP),,,,,,,,,,,,,,,,,,,,08/12/2022 07:03
Individual patient notes in Kennel,CE-189,Idea,Closed,Major,Ellie Lightowler,Ellie Lightowler,25/03/2021 14:06,08/08/2022 12:00,Client would like to be able to input individual patient notes as well as general day notes. ,,Ellie Lightowler,,5eff0aeac796b50bb20420c4,,,,,Improved user experience,,,Anderson & Abercromby (VP),,,,,,,,,,,,,,,,,,,,08/08/2022 12:00
Be able to change a patients status when in the Kennel,CE-188,Idea,Idea Pipeline,Major,Ellie Lightowler,Ellie Lightowler,25/03/2021 14:01,08/12/2022 08:21,The client would like to have the drop down option to change the status of a kennel patient. For example change from in kennel to 'in theatre' 'in prep' 'in kennel'. Handy for knowing how the progress of the day is going and also to inform clients if they call and ask how their pet is doing.,,Ellie Lightowler,,5eff0aeac796b50bb20420c4,,,,,Additional functionality,,,Anderson & Abercromby (VP),,,,,,,,,,,,,,,,,,,,25/03/2021 14:01
icon on website to link to repeat meds column in Merlin,CE-186,Idea,Closed,Major,Susannah Watkiss,Susannah Watkiss,24/03/2021 10:09,30/08/2022 14:14,"CE requested as per Paul May request in email, copied request below:

I have had a call from Rebecca at Victoria Vets this morning. 
She has a web designer who would like to discuss the possibility of setting up API integration to link a ‘request repeat meds’ button on her website, to her Repeat Meds column in Merlin.
Would someone be happy to discuss with them please?
",,Craig Herrington,Micheal Aderinto,5ecfbfd00e595d0c34457af8,625a831556e5a8006ddb7b2f,5eff0aeba62a720b98d89c8a,,,Improved user experience,,,Victoria Vets,,,,,,,,,,,,,,,,,,Need to call the practice and have manual input to then add repeat to repeat px list,,30/08/2022 14:14
Report to show what users created Clients/Patients,CE-183,Idea,Idea Pipeline,Major,Christien Cull,Christien Cull,23/03/2021 09:17,08/12/2022 07:32,"Practice would like Merlin to have a report, so they can find out what users created clients/patients.
Added Date/time column.



Confirmed with Jordan there is no Customer Enhancements outstanding for this idea.",,Micheal Aderinto,,625a831556e5a8006ddb7b2f,,,,,Improved Reporting,,,Damory,,,,,,,,,,,,,,,,,,"Unable to report on how clients are created.
Having to ask support for this information as and when required.",,23/03/2021 09:17
different colour options for Dairy notes,CE-182,Idea,Idea Pipeline,Major,Kaci Penfold,Kaci Penfold,22/03/2021 12:23,07/12/2022 13:08,Customer would like there to be an option to change the colour of diary notes so that they stand out more.,,,,,,,,,Additional functionality,,,Filey Veterinary Practice,,,,,,,,,,,,,,,,,,low.,,22/03/2021 12:23
 Add a column for HCP client's address on HCP report,CE-181,Idea,Idea Pipeline,Major,Pratima Gurung,Pratima Gurung,18/03/2021 13:24,07/12/2022 13:16,"Site requested to add a column for HCP client's address (home address with postcode) on HCP report.
",,Craig Herrington,Micheal Aderinto,5ecfbfd00e595d0c34457af8,625a831556e5a8006ddb7b2f,5ed5160d322f9a0c1cf4dab5,5eed354270fb110aba57b4fa,,Additional functionality,,,Assisi Veterinary Group,,,,,,,,,,,,,,,,,,Unable to do a targeted mailout to a specific group of VIP clients.,,15/02/2022 11:07
CSV Daily Sales Export for Sage,CE-180,Idea,Closed,Major,Jordan Cottee,Jordan Cottee,18/03/2021 08:44,12/01/2022 16:17,"They wanted integration with Sage. As not available suggested using exported CSV Sales Reports and import into Sage.​
They advise reports are not in Sage Format and can not be imported.​

When explained we haven’t had report of this, customer advised either their accountant or Merlin has to be changed\!​",,,,,,,,,Improved Reporting,,,White Mill Vets,,,,,,,,,,,,,,,,,,Making tax digital,,06/04/2021 12:03
Identify if Smartflow documents are merged into one document,CE-179,Idea,Idea Pipeline,Major,James Bird,James Bird,17/03/2021 10:33,08/12/2022 08:20,"SmartFlow have a toggle on their end to Merge documents.
As such Merlin are downloading each instance of created documents which are result in multiple documents with the same content.

Ideally Merlin needs to be able to identify if the documents have been merged and only grab one copy.

Further details concerning API/Toggle can be found in the attached image and here:
https://idexx.github.io/docs-sfs/?conf#download-the-flowsheet-report
",,James Bird,,5eed2c06a228c50ab951b6bf,,,,,Additional functionality,,,Assisi,,,,,,,,,,,,,,,,,,Documents are currently being duplicated in patient history - with a unique file name.,,17/05/2021 16:33
Change online booking name (Vet Storia),CE-178,Idea,Closed,Major,Aimee Pearce,Aimee Pearce,12/03/2021 13:54,12/01/2022 16:17,"When they receive an online booking, where it says ""prospect"" in Merlin, can it be changed to Vetstoria
Therefore, allowing the team to identify this is an online booking. ",,Aimee Pearce,,5eed3545022ed00ab7740308,,,,,,,,Assisi Veterinary Group,,,,,,,,,,,,,,,,,,"This is causing confusion on who is booking the appointment, is it just a prospect patient or is it an actual booking  ",,29/04/2021 11:14
Release Notes,CE-177,Idea,Analysis,Major,Jordan Cottee,Jordan Cottee,12/03/2021 13:32,23/01/2024 04:10,"“As a user I do not always have time to check my emails which is where my Merlin release notes are posted. I am focused on my patients and clinical work and when I get into the practice my priority is to check on my patients and deal with any emergency work. This means I am logging into Merlin as one of my first activities to look at patient treatment records and any new features and improvements can sometimes be unexpected.”

 

Looking at the use case I think we need to look at the Merlin release notes being displayed within platform as a pop up when the user logs on for the first time following an upgrade. ",,Craig Herrington,Susannah Watkiss,5ecfbfd00e595d0c34457af8,5eff0aeba62a720b98d89c8a,,,,,,,Robertson & Orr,,,,,,,Poor numbers of staff reading release notes. Increases calls to Support?,,,,,,,,,,,Users are not reading release notes and are unware of upgrade dates.,,11/07/2022 11:34
Would like a new standard report,CE-176,Idea,Closed,Major,Susannah Watkiss,Susannah Watkiss,12/03/2021 13:21,01/12/2022 11:36,"Kriek and Gibson request that a standard report encompassing patient weight, HCP status, D.O.B, and client contact info be created",,Craig Herrington,Micheal Aderinto,5ecfbfd00e595d0c34457af8,625a831556e5a8006ddb7b2f,5eff0aeba62a720b98d89c8a,62e0eb6c3780798663d07fcf,,Improved Reporting,,,Kriek and Gibson,,,,,,,,,,,,,,,,,,Difficulty x-referencing patient weight with appropriate plan (eg checking a puppy is added to a new adult weight banded plan at the appropriate time) and being able to see all client contact info there at a glance too,,01/12/2022 11:36
Multiple phone number/site options ,CE-175,Idea,Discovery,Major,Karen Lawrence,Karen Lawrence,09/03/2021 17:44,07/02/2024 09:27,"Asked if it would be possible to have the option to add multiple numbers to clients' records.
Some of their farmers have various telephone numbers for their contacts and it would be useful to see which number belongs to whom, so it would have the option to include a name linked with each phone no.

Also a number of their clients have one main address but a few sub addresses.  It would be helpful if they could select the appropriate site when booking visits, so the vets know which address the call out is for.",,Craig Herrington,Eduardo Soroa Pina,5ecfbfd00e595d0c34457af8,5e9ebb27fd4e200c185ea007,,,,Additional functionality,,,VP - Hampden Vets / Assisi / St Georges Weybridge / Kriek & Gibson / Ystwyth Vets / Craven farm Vets / Cobham Park,,,,,,,,,,,,,,,,,,"It is not possible to see the correct address for the appointments on the diary and/or waiting lists and it makes booking an appointment difficult as they have to look the correct address up then type it again into notes.
Not having the ability to label phone numbers mean they don't know which number is for whom.

 ",,18/07/2022 11:46
